tau,alpha,sq_errors,sq_errors_old,is_best_tau
9.6,17.223479179554438,7841.287556340021,2321021.1166766463,False
9.7,17.11115942733161,7907.901516999612,2340738.849031885,False
9.8,17.000185481300207,7974.1116658267565,2360337.0530847204,False
9.9,16.890564321367645,8039.8055284291795,2379782.436415037,False
10.0,16.782281151013695,8104.9543575656635,2399066.489839436,False
10.1,16.675283857908653,8169.667230041881,2418221.5000923974,False
10.2,16.569536688866943,8233.99305445239,2437261.9441179074,False
10.3,16.465038200103958,8297.862691512724,2456167.356687767,False
10.4,16.361785365705998,8361.218679056221,2474920.7290006415,False
10.5,16.259761309525,8424.05100588515,2493519.097742004,False
10.6,16.158945200619623,8486.364484376607,2511963.887375476,False
10.7,16.0592995208121,8548.230020291572,2530276.0860063056,False
10.8,15.960807776988494,8609.641677605101,2548453.9365711096,False
10.9,15.86346118723777,8670.562337033562,2566486.4517619344,False
11.0,15.767229527227709,8731.04228293575,2584388.5157489823,False
11.1,15.672075204794824,8791.160249966702,2602183.4339901446,False
11.2,15.57800502467845,8850.822960204898,2619843.5962206493,False
11.3,15.4850024909254,8910.031411541042,2637369.297816149,False
11.4,15.39305119458656,8968.785838003505,2654760.6080490374,False
11.5,15.30214098637582,9027.061108612239,2672010.0881492225,False
11.6,15.212247743055777,9084.888355950605,2689126.953361378,False
11.7,15.12334161407001,9142.320734838087,2706126.937512074,False
11.8,15.035427482003055,9199.287208177326,2722989.0136204883,False
11.9,14.94848947759425,9255.79237509971,2739714.543029515,False
12.0,14.862498032252756,9311.902457284175,2756323.1273561157,False
12.1,14.777452056974557,9367.560462748686,2772797.8969736123,False
12.2,14.693327107551617,9422.8060242367,2789150.583174063,False
12.3,14.610114138387402,9477.623438021683,2805376.5376544176,False
12.4,14.527803117571215,9532.00130186677,2821472.3853525645,False
12.5,14.446379992016768,9585.944026448853,2837439.431828861,False
12.6,14.365821283821965,9639.499053763397,2853291.719913966,False
12.7,14.286120106408688,9692.641888391856,2869021.9989639893,False
12.8,14.207266521340037,9745.36226782676,2884627.2312767217,False
12.9,14.129237146177262,9797.708056362768,2900121.5846833796,False
13.0,14.05202762802762,9849.64890958517,2915496.077237211,False
13.1,13.975627731778015,9901.179667674965,2930749.1816317895,False
13.2,13.900025220524427,9952.30448734345,2945882.128253662,False
13.3,13.825208094091675,10003.027487438389,2960896.1362817623,False
13.4,13.751164583559282,10053.352748676298,2975792.4136081836,False
13.5,13.677883145931414,10103.284313420096,2990572.1567723476,False
13.6,13.605352458946802,10152.826185498976,3005236.5509076975,False
13.7,13.533561416024563,10201.98233006801,3019786.769700131,False
13.8,13.462499121342109,10250.7566735049,3034223.9753574515,False
13.9,13.392154885041366,10299.153103341407,3048549.318589056,False
14.0,13.32251821855955,10347.17546822736,3062763.9385952987,False
14.1,13.253578830081073,10394.82757792496,3076868.9630657886,False
14.2,13.185314977713404,10442.169826417196,3090882.26861949,False
14.3,13.117728323740868,10489.150190743054,3104788.4564599437,False
14.4,13.050809396434012,10535.771112108376,3118588.249184081,False
14.5,12.984548644706006,10582.036247360646,3132282.7292187517,False
14.6,12.918936693226973,10627.949214858127,3145872.967598005,False
14.7,12.853964338532704,10673.513594604878,3159360.024003044,False
14.8,12.789622545232344,10718.732928404399,3172744.9468077025,False
