tau,alpha,sq_errors,sq_errors_old,is_best_tau
5.4,30.047592804645692,4586.914884497366,2609954.569279001,False
5.5,29.748427533992814,4650.830273981221,2646322.4258953147,False
5.6,29.45417005126536,4714.539695191618,2682573.08656403,False
5.7,29.16471558261267,4778.203515923758,2718797.800560618,False
5.8,28.880256441990394,4841.676146757184,2754913.7275048373,False
5.9,28.60072016987963,4904.9769129242495,2790931.8634538986,False
6.0,28.325848285499237,4967.979144317778,2826780.133116816,False
6.1,28.055199883595577,5030.884504041857,2862573.282799816,False
6.2,27.788696672452694,5093.467574173539,2898183.0497047435,False
6.3,27.526549540865346,5155.736759536502,2933614.216176269,False
6.4,27.268720192074188,5217.584686801902,2968805.686790282,False
6.5,27.0151500050654,5278.954319967716,3003725.008061631,False
6.6,26.765685731144792,5339.994997989434,3038457.1538559883,False
6.7,26.520111607692964,5400.653537572978,3072971.862879024,False
6.8,26.278492246603513,5460.992426454926,3107304.6906528533,False
6.9,26.040753339418693,5520.965226033056,3141429.2136128093,False
7.0,25.806813765752416,5580.56055145679,3175338.9537789132,False
7.1,25.5765298768042,5639.757453143289,3209021.990838532,False
7.2,25.34976748322298,5698.573452072732,3242488.2942293836,False
7.3,25.126535255838327,5757.05940996821,3275766.804271911,False
7.4,24.906832646182366,5815.198269155574,3308847.815149521,False
7.5,24.69050850503634,5873.058122408204,3341770.071650268,False
7.6,24.47745787768998,5930.709813621528,3374573.883950649,False
7.7,24.26753031625281,5988.274008979438,3407327.9111093,False
7.8,24.06073931386423,6045.662434231495,3439981.9250777215,False
7.9,23.857108327389682,6102.779262800909,3472481.4005337185,False
8.0,23.65652873222959,6159.683669273854,3504860.007816823,False
8.1,23.45892981480905,6216.286232098688,3537066.866064153,False
8.2,23.264242153748977,6272.444218617442,3569020.7603933234,False
8.3,23.072507308121555,6328.196458819645,3600743.7850683783,False
8.4,22.883662819758392,6383.640717718249,3632291.568381684,False
8.5,22.69764961041123,6438.707687195526,3663624.674014254,False
8.6,22.514365039140856,6493.453036104273,3694774.777543332,False
8.7,22.333689368481327,6547.886872495116,3725747.630449721,False
