tau,alpha,sq_errors,is_best_tau
7.9,54.42341212125348,14269.336021255434,False
8.0,54.75037768054476,14503.77170845,False
8.1,55.079880428613635,14741.92274512327,False
8.2,55.41187071890438,14984.274437375541,False
8.3,55.74632501120056,15231.556368601843,False
8.4,56.083077869425914,15483.975907855103,False
8.5,56.42233589706153,15741.448382941617,False
8.6,56.76434638056464,16003.699501216313,False
8.7,57.10875744048774,16269.57754945634,False
8.8,57.45567729543128,16539.764779869358,False
8.9,57.805335098821494,16814.818228278884,False
9.0,58.15782094175933,17094.444857634644,False
9.1,58.513305876787996,17378.29370569999,False
9.2,58.87192852515368,17666.51887203966,False
9.3,59.23329778982677,17959.958350639263,False
9.4,59.597250846362584,18258.372208460172,False
9.5,59.96376178476355,18562.2498113499,False
9.6,60.33331211732823,18870.699948020265,False
9.7,60.705753592722864,19182.753885889044,False
9.8,61.08103426778222,19499.136471527883,False
9.9,61.459324490596906,19820.578568583212,False
10.0,61.84060716525013,20145.7043993399,False
10.1,62.225042176101326,20474.769648939808,False
10.2,62.61231014114268,20807.022189761115,False
10.3,63.00263241843367,21144.30274206975,False
10.4,63.396250039824295,21485.815095715672,False
10.5,63.79294189881284,21832.007806708938,False
10.6,64.19326149086899,22182.83857499405,False
10.7,64.59695709731284,22538.177661199064,False
10.8,65.00347136408355,22898.254453498474,False
10.9,65.41319949566922,23263.35343260733,False
11.0,65.8260385064319,23633.052553661408,False
11.1,66.2424101440555,24007.04486567623,False
11.2,66.66208678865993,24386.146582355002,False
11.3,67.08469801238518,24771.581097124323,False
11.4,67.51054702908888,25162.85600949732,False
11.5,67.94007976366912,25559.33642649912,False
11.6,68.37317217692363,25961.1882977152,False
11.7,68.80988131753182,26366.133319134387,False
11.8,69.24986541044233,26777.475131013256,False
11.9,69.6934540292708,27195.4939372765,False
12.0,70.14051293461078,27619.575389348764,False
12.1,70.59065366554172,28049.170224307807,False
12.2,71.04466389723218,28481.477402201297,False
12.3,71.50222792969798,28919.87882159975,False
12.4,71.96366051583382,29363.439399221515,False
12.5,72.4290564345453,29812.485141446046,False
12.6,72.89859247533393,30266.405334545456,False
12.7,73.37159514058482,30722.77691687824,False
12.8,73.84852098093259,31186.347309125962,False
12.9,74.3293237437982,31656.485534641724,False
13.0,74.81348736277053,32132.423167555316,False
13.1,75.3013922239283,32613.788724283502,False
13.2,75.79310754426017,33098.84113193769,False
13.3,76.28860082046955,33590.113708673765,False
13.4,76.78803341575649,34088.32914766702,False
13.5,77.29174641426243,34591.497343123934,False
